Symbol,Prediction_Date,Target_Date,Close,Predicted_Price_Change,percent_predicted_change,Accuracy_%,weighted_movement
GDS,2025-02-26,2025-02-28,40.09000015258789,4.348267450456267,10.846264489663708,100.0,10.846264489663708
NBIS,2025-02-26,2025-02-28,35.97999954223633,2.117353127184666,5.884805875828709,100.0,5.884805875828709
VNET,2025-02-26,2025-02-28,12.880000114440918,0.9577172217554148,7.4356926494249995,66.67,4.9573762893716475
TTD,2025-02-26,2025-02-28,72.43000030517578,2.5627517838042353,3.538246269510375,100.0,3.538246269510375
WIX,2025-02-26,2025-02-28,199.16000366210935,6.920507820296046,3.4748482089994503,83.33,2.8955910125592417
EVER,2025-02-26,2025-02-28,25.739999771118164,0.6676985596552356,2.5940115213382158,83.33,2.161589800731135
JG,2025-02-26,2025-02-28,10.06999969482422,0.28310820073659365,2.811402277222567,66.67,1.8743618982242856
DOYU,2025-02-26,2025-02-28,7.380000114440918,0.13647750068470837,1.8492885984873377,66.67,1.2329207086115082
GOOG,2025-02-26,2025-02-28,174.6999969482422,2.8589630093063234,1.6364986028896953,50.0,0.8182493014448476
GOOGL,2025-02-26,2025-02-28,172.72999572753906,2.28690830742464,1.3239786742263135,50.0,0.6619893371131568
